algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
custom,intersection,blogs,glove,1.0,3.0,7.0,8.0,8.0,0.16188734013801906,6.31697154045105,58122.0
custom,craftdroid,blogs,glove,2.0,3.0,6.0,9.0,9.0,0.18556270083379173,9.622523307800293,219526.0
custom,atm,blogs,glove,1.0,3.0,7.0,8.0,8.0,0.16188734013801906,6.304579734802246,58122.0
atm_0,union,blogs,glove,3.0,3.0,5.0,8.0,9.0,0.19220946193878308,15.63623332977295,219526.0
atm_0,intersection,blogs,glove,0.0,2.0,4.0,6.0,6.0,0.1182497289543919,4.690375804901123,58122.0
atm_0,craftdroid,blogs,glove,3.0,3.0,5.0,8.0,9.0,0.19220946193878308,12.823227882385254,219526.0
atm_0,atm,blogs,glove,0.0,2.0,4.0,6.0,6.0,0.1182497289543919,7.09745717048645,58122.0
craftdroid,union,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,22.821669816970825,97984.0
craftdroid,intersection,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,2.91324782371521,45295.0
craftdroid,craftdroid,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.038556337356567,97984.0
craftdroid,atm,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,2.9695184230804443,45295.0
custom,union,standard,glove,3.0,4.0,7.0,10.0,10.0,0.20815454546733347,10.293467283248901,217075.0
custom,intersection,standard,glove,2.0,5.0,7.0,9.0,10.0,0.2042257126442774,5.56304931640625,56245.0
custom,craftdroid,standard,glove,3.0,4.0,7.0,10.0,10.0,0.20815454546733347,10.414079904556274,217075.0
custom,atm,standard,glove,2.0,5.0,7.0,9.0,10.0,0.2042257126442774,6.250401258468628,56245.0
atm_0,union,standard,glove,3.0,4.0,5.0,7.0,7.0,0.18681003972182136,15.710068464279175,217075.0
atm_0,intersection,standard,glove,0.0,4.0,5.0,6.0,6.0,0.1339991957726519,3.90647292137146,56245.0
atm_0,craftdroid,standard,glove,3.0,4.0,5.0,7.0,7.0,0.18681003972182136,13.16398286819458,217075.0
atm_0,atm,standard,glove,0.0,4.0,5.0,6.0,6.0,0.1339991957726519,7.376387357711792,56245.0
craftdroid,union,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,12.943594694137573,90948.0
craftdroid,intersection,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.2575747966766357,42207.0
craftdroid,craftdroid,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.928323984146118,90948.0
craftdroid,atm,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.05001163482666,42207.0
custom,union,googleplay,glove,2.0,3.0,6.0,7.0,8.0,0.18073361823361828,10.768082857131958,201974.0
custom,intersection,googleplay,glove,1.0,3.0,4.0,6.0,8.0,0.15503455471763497,6.4306347370147705,52545.0
custom,craftdroid,googleplay,glove,2.0,3.0,6.0,7.0,8.0,0.18073361823361828,11.11811375617981,201974.0
custom,atm,googleplay,glove,1.0,3.0,4.0,6.0,8.0,0.15503455471763497,5.740277290344238,52545.0
atm_0,union,googleplay,glove,2.0,2.0,4.0,5.0,5.0,0.15197300697190963,16.260972023010254,201974.0
atm_0,intersection,googleplay,glove,0.0,2.0,5.0,6.0,6.0,0.12405074379060337,4.874175071716309,52545.0
atm_0,craftdroid,googleplay,glove,2.0,2.0,4.0,5.0,5.0,0.15197300697190963,13.679296731948853,201974.0
atm_0,atm,googleplay,glove,0.0,2.0,5.0,6.0,6.0,0.12405074379060337,11.697704315185547,52545.0
craftdroid,union,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,22.050798892974854,61085.0
craftdroid,intersection,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.225430011749268,28175.0
craftdroid,craftdroid,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,13.059113502502441,61085.0
craftdroid,atm,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,7.030890941619873,28175.0
custom,union,android,fast,2.0,3.0,4.0,7.0,9.0,0.17371894468023216,26.744006156921387,136382.0
custom,intersection,android,fast,3.0,5.0,8.0,8.0,8.0,0.21491787003399573,10.341782569885254,34610.0
custom,craftdroid,android,fast,2.0,3.0,4.0,7.0,9.0,0.17371894468023216,26.42602562904358,136382.0
custom,atm,android,fast,3.0,5.0,8.0,8.0,8.0,0.21491787003399573,11.31334662437439,34610.0
atm_0,union,android,fast,2.0,2.0,2.0,3.0,4.0,0.1351962487635695,33.1273238658905,136382.0
atm_0,intersection,android,fast,0.0,0.0,2.0,2.0,5.0,0.0913689078747761,8.834075927734375,34610.0
atm_0,craftdroid,android,fast,2.0,2.0,2.0,3.0,4.0,0.1351962487635695,29.319353342056274,136382.0
atm_0,atm,android,fast,0.0,0.0,2.0,2.0,5.0,0.0913689078747761,11.958218097686768,34610.0
craftdroid,union,blogs,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,49.352046489715576,1.0
craftdroid,intersection,blogs,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.968900203704834,1.0
craftdroid,craftdroid,blogs,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,13.014757871627808,1.0
craftdroid,atm,blogs,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,7.091358661651611,1.0
custom,union,blogs,fast,3.0,4.0,4.0,7.0,9.0,0.1975748092286064,26.108826637268066,8.0
custom,intersection,blogs,fast,2.0,4.0,7.0,8.0,9.0,0.1831859076980718,10.290396213531494,1.0
custom,craftdroid,blogs,fast,3.0,4.0,4.0,7.0,9.0,0.1975748092286064,26.051032781600952,8.0
custom,atm,blogs,fast,2.0,4.0,7.0,8.0,9.0,0.1831859076980718,10.407285928726196,1.0
atm_0,union,blogs,fast,3.0,3.0,3.0,5.0,6.0,0.1590106699666874,31.801774263381958,8.0
atm_0,intersection,blogs,fast,0.0,3.0,5.0,5.0,5.0,0.1192411546422939,8.779759407043457,1.0
atm_0,craftdroid,blogs,fast,3.0,3.0,3.0,5.0,6.0,0.1590106699666874,31.99175190925598,8.0
atm_0,atm,blogs,fast,0.0,3.0,5.0,5.0,5.0,0.1192411546422939,12.651716947555542,1.0
craftdroid,union,googleplay,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,43.958760023117065,3192.0
craftdroid,intersection,googleplay,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.039604902267456,478.0
craftdroid,craftdroid,googleplay,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,10.639770746231079,3192.0
craftdroid,atm,googleplay,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.051884412765503,478.0
custom,union,googleplay,fast,4.0,7.0,8.0,13.0,14.0,0.2776547902017827,20.72852921485901,6643.0
custom,intersection,googleplay,fast,3.0,5.0,9.0,9.0,9.0,0.21924234464771458,9.044136047363281,784.0
custom,craftdroid,googleplay,fast,4.0,7.0,8.0,13.0,14.0,0.2776547902017827,22.090762853622437,6643.0
custom,atm,googleplay,fast,3.0,5.0,9.0,9.0,9.0,0.21924234464771458,9.123756170272827,784.0
atm_0,union,googleplay,fast,3.0,3.0,5.0,5.0,5.0,0.17155357203152663,27.27682375907898,6643.0
atm_0,intersection,googleplay,fast,0.0,3.0,4.0,4.0,4.0,0.10982634266594979,7.236208200454712,784.0
atm_0,craftdroid,googleplay,fast,3.0,3.0,5.0,5.0,5.0,0.17155357203152663,23.719299793243408,6643.0
atm_0,atm,googleplay,fast,0.0,3.0,4.0,4.0,4.0,0.10982634266594979,9.944867134094238,784.0
craftdroid,union,empty,jaccard,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,3.0469932556152344,1005.0
craftdroid,intersection,empty,jaccard,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,1.3753199577331543,1005.0
craftdroid,craftdroid,empty,jaccard,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,1.9868309497833252,1005.0
craftdroid,atm,empty,jaccard,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,1.4013795852661133,1005.0
