algorithm,descriptors,training_set,word_embedding,top1,top2,top3,top4,top5,MRR,time,zeros
atm_0,atm,standard,use,6.0,7.0,8.0,9.0,11.0,0.2912390823388291,82.43396425247192,3930.0
craftdroid,union,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.36502194404602,189408.0
craftdroid,intersection,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,4.720110893249512,89547.0
craftdroid,craftdroid,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,8.740123748779297,189408.0
craftdroid,atm,android,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.482261419296265,89547.0
custom,union,android,glove,3.0,3.0,6.0,8.0,9.0,0.2006181212042947,15.108027219772339,445029.0
custom,intersection,android,glove,3.0,4.0,6.0,8.0,9.0,0.2104849472884078,8.978641748428345,121764.0
custom,craftdroid,android,glove,3.0,3.0,6.0,8.0,9.0,0.2006181212042947,15.270761251449585,445029.0
custom,atm,android,glove,3.0,4.0,6.0,8.0,9.0,0.2104849472884078,9.044969320297241,121764.0
atm_0,union,android,glove,3.0,5.0,7.0,8.0,8.0,0.21581950625969779,23.5742506980896,445029.0
atm_0,intersection,android,glove,2.0,5.0,6.0,8.0,8.0,0.1948092983428019,6.455109596252441,121764.0
atm_0,craftdroid,android,glove,3.0,5.0,7.0,8.0,8.0,0.21581950625969779,19.83451557159424,445029.0
atm_0,atm,android,glove,2.0,5.0,6.0,8.0,8.0,0.1948092983428019,12.212313175201416,121764.0
craftdroid,union,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,14.440915584564209,135306.0
craftdroid,intersection,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,4.791459083557129,64785.0
craftdroid,craftdroid,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,8.875646829605103,135306.0
craftdroid,atm,blogs,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.6092753410339355,64785.0
custom,union,blogs,glove,2.0,2.0,2.0,5.0,8.0,0.1557126230445558,15.248819828033447,310395.0
custom,intersection,blogs,glove,2.0,4.0,7.0,9.0,9.0,0.187665632879614,9.020433187484741,84304.0
custom,craftdroid,blogs,glove,2.0,2.0,2.0,5.0,8.0,0.1557126230445558,15.492741823196411,310395.0
custom,atm,blogs,glove,2.0,4.0,7.0,9.0,9.0,0.187665632879614,9.001782655715942,84304.0
atm_0,union,blogs,glove,4.0,4.0,4.0,7.0,8.0,0.21220240223211362,24.54062557220459,310395.0
atm_0,intersection,blogs,glove,2.0,4.0,5.0,8.0,8.0,0.17922525492057467,6.740844249725342,84304.0
atm_0,craftdroid,blogs,glove,4.0,4.0,4.0,7.0,8.0,0.21220240223211362,20.273550748825073,310395.0
atm_0,atm,blogs,glove,2.0,4.0,5.0,8.0,8.0,0.17922525492057467,11.973118543624878,84304.0
craftdroid,union,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,24.111079692840576,135603.0
craftdroid,intersection,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,4.6931962966918945,63088.0
craftdroid,craftdroid,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,8.78073239326477,135603.0
craftdroid,atm,standard,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.517202377319336,63088.0
custom,union,standard,glove,2.0,2.0,5.0,8.0,8.0,0.1657657951735795,15.12294888496399,306082.0
custom,intersection,standard,glove,3.0,6.0,8.0,9.0,9.0,0.22227295415729603,8.878543615341187,81284.0
custom,craftdroid,standard,glove,2.0,2.0,5.0,8.0,8.0,0.1657657951735795,15.334893465042114,306082.0
custom,atm,standard,glove,3.0,6.0,8.0,9.0,9.0,0.22227295415729603,9.003492593765259,81284.0
atm_0,union,standard,glove,3.0,5.0,6.0,8.0,8.0,0.2013962711183097,23.92003035545349,306082.0
atm_0,intersection,standard,glove,2.0,5.0,6.0,8.0,8.0,0.18983441654120067,6.669693470001221,81284.0
atm_0,craftdroid,standard,glove,3.0,5.0,6.0,8.0,8.0,0.2013962711183097,20.03547430038452,306082.0
atm_0,atm,standard,glove,2.0,5.0,6.0,8.0,8.0,0.18983441654120067,17.088954210281372,81284.0
craftdroid,union,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,16.07805824279785,126311.0
craftdroid,intersection,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,6.003725290298462,59225.0
craftdroid,craftdroid,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,9.241738080978394,126311.0
craftdroid,atm,googleplay,glove,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,5.021105766296387,59225.0
custom,union,googleplay,glove,2.0,2.0,2.0,5.0,7.0,0.14769085184109815,16.091609716415405,285940.0
custom,intersection,googleplay,glove,2.0,3.0,4.0,6.0,6.0,0.16278775263018957,9.428145170211792,76506.0
custom,craftdroid,googleplay,glove,2.0,2.0,2.0,5.0,7.0,0.14769085184109815,17.453145503997803,285940.0
custom,atm,googleplay,glove,2.0,3.0,4.0,6.0,6.0,0.16278775263018957,8.733687162399292,76506.0
atm_0,union,googleplay,glove,3.0,3.0,4.0,6.0,6.0,0.18205705603152045,25.343406915664673,285940.0
atm_0,intersection,googleplay,glove,2.0,4.0,4.0,7.0,7.0,0.17213493959871753,7.209789276123047,76506.0
atm_0,craftdroid,googleplay,glove,3.0,3.0,4.0,6.0,6.0,0.18205705603152045,20.67554473876953,285940.0
atm_0,atm,googleplay,glove,2.0,4.0,4.0,7.0,7.0,0.17213493959871753,12.49941349029541,76506.0
craftdroid,union,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,28.621051788330078,83680.0
craftdroid,intersection,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,10.649370908737183,38726.0
craftdroid,craftdroid,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,20.253726482391357,83680.0
craftdroid,atm,android,fast,2.0,2.0,2.0,2.0,2.0,0.07142857142857142,10.877065658569336,38726.0
custom,union,android,fast,2.0,3.0,3.0,5.0,6.0,0.15258132848537084,41.82448625564575,189748.0
custom,intersection,android,fast,3.0,6.0,7.0,9.0,9.0,0.2210890831949788,16.55954122543335,49292.0
custom,craftdroid,android,fast,2.0,3.0,3.0,5.0,6.0,0.15258132848537084,39.72958517074585,189748.0
custom,atm,android,fast,3.0,6.0,7.0,9.0,9.0,0.2210890831949788,15.725292921066284,49292.0
atm_0,union,android,fast,3.0,3.0,3.0,3.0,5.0,0.16367532048152825,49.508228063583374,189748.0
atm_0,intersection,android,fast,2.0,2.0,2.0,4.0,6.0,0.14125625061620656,15.11606764793396,49292.0
atm_0,craftdroid,android,fast,3.0,3.0,3.0,3.0,5.0,0.16367532048152825,46.03791785240173,189748.0
